F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,Target
127.71,-269.1,65.64,10,56.39,-476.16,-304.8,1.21,5.22,-10.68,-3752.4,-1770.96,-1662.44,-1801.04,134.28,Europe,-144.54,-1030.9,4563.71,42085.17,1005.06,-47.49,80.54,-11.59,-3236.37,12.38,10336.26,-4.63,39.02,147.74,-922.41,9,38.61,Medium,1.92
174.03,-48.39,69.27,6,116.98,-481.6,-273.06,0.04,1.84,-11.68,-3565.1,-1317.28,-786.16,-2453.4,205.93,Europe,-253.92,-440.16,2971.43,27873.63,-75.57,-69.6,61.08,-13.35,-813.15,6.12,6165.55,-9.65,42.22,1283.16,-1685.43,12,35.64,Medium,124.35
41.91,-307.11,66.6,12,14.29,-614.4,-552.8,49.01,22.3,-7.84,-3323.32,-2213.33,-653.48,-3031.6,125.5,Rest,-272.34,-1194.92,2715.41,29362.92,1028.13,-68.79,58.64,-21.97,-3255.09,6,1307.39,-3.94,43.24,1093.81,-929.37,6,36.84,Very high,11.34
113.01,-144.54,45.6,12,72.87,-418.78,-870.62,11.29,3.76,-15.46,-3908.46,-2027.93,-1462.64,-1630.82,116.9,UK,-409.38,-503.58,5907.78,38347.44,-89.58,-47.25,54.58,-13.34,-2799.72,0.18,5213.94,0.83,50.46,1047.43,-557.61,15,40.5,Very low,504.24
40.98,-270.9,74.67,12,59.48,-319.68,-1840.54,0.19,0.42,-13.23,-2880.1,-2232.01,-683.84,-2616.88,107.07,UK,-253.74,-633.9,8875.47,19989.54,728.4,-41.49,51.92,-13.85,-2936.19,10.02,4371.77,-0.35,50.94,1007.68,-3393.42,3,47.82,High,-8.93
-144.72,-154.98,76.74,4,74.74,-438.64,-1584.44,1.36,3.58,-7.31,-4397.02,-1601.27,-2319.56,-1806.08,67.73,Rest,-267.03,-802.18,3506.82,34270.41,213.15,-39.27,73.76,-11.54,-1684.2,13.92,-3280.25,-3.48,64.8,1061.11,-2045.22,9,36.09,Very high,80.11
10.68,-15.69,62.52,10,38.92,-472.38,169.06,0.31,8.74,-10.83,-4027.6,-1545.34,-867.3,-2654.46,136.44,USA,-275.13,-1319.24,4236.61,15861.66,371.1,-57.33,64.88,-11.99,-2614.86,15,188.88,0.57,46.2,1046.86,-1695.93,15,40.38,High,10.49
117.21,-192.9,59.49,8,61.27,-594.74,-399.82,45.32,3.4,-14.11,-4276.5,-1781.65,-1232.9,-2001.2,172.94,USA,-297.93,-464,3469.37,30610.95,833.46,-61.02,59.2,-12.66,-919.62,11.44,-5104.97,2.35,54.94,1213.54,-1782.42,18,27.18,High,655.29
32.94,-201.48,69.3,10,80.38,-438.48,529.5,6.13,0.76,-10.42,-2676.1,-1562.09,-1271.08,-2720.28,131.84,Rest,-297.66,-1887.62,3755.54,24044.88,630.18,-46.35,83.72,-12.57,-3040.83,17.32,-5921.78,-1.48,46.3,804.28,-2043.99,6,31.41,Very high,-8.93
1.83,-19.11,52.08,8,45.21,-578.76,-792.78,0.67,4.14,-12.07,-3142.14,-2227.79,-2148.2,-1658.74,144.79,Europe,-253.26,-937.28,3094.87,14020.89,1879.08,-63.36,61.08,-24.09,-2767.26,9.88,3424.47,-5.88,43.42,198.29,-1557.78,12,17.04,Very high,97.76
-35.46,-64.77,66.51,12,17.28,-507.6,1136.86,0.01,15.66,-12.14,-3970.38,-1812.96,-2257.34,-3618.1,112.6,USA,-230.82,-1637.96,6098.17,35345.28,1400.46,-44.79,68.96,-12.94,-3928.53,8.78,4793.39,-2.45,59.56,625.93,-1602.03,12,27.81,High,275.18
-36.96,-105.48,71.4,12,49.12,-504.82,94.3,14.25,5.94,-11.73,-3814.22,-1998.71,-571.64,-2467.5,49.16,Rest,30.96,-1111.02,10347.93,26731.62,1697.07,-22.83,59.42,-15.61,-2753.94,1.74,1327.55,-2.61,70.36,1082.28,-1095.9,15,40.17,Medium,299.68
-74.34,-62.97,67.23,6,76.12,-463.92,-48.66,128.02,4.82,-14.83,-3425.94,-853.32,-1517.5,-2266.18,181.69,Rest,-74.76,-1008.86,7283.98,44353.17,936.18,-38.97,38.16,-3.81,-2106.03,5.16,614.16,5.62,51.94,1168.2,-1505.25,9,49.89,Very high,509.59
72.66,-131.55,72.24,6,52.27,-498.16,-508.46,0.18,8.96,-12.13,-5523.1,-1862.19,-1834.04,-1820.82,122.61,Europe,-374.7,-425.22,3023.38,27087.96,663.48,-7.32,53.54,-13.84,-3207.42,17.88,-5799.44,-2.71,50.28,366.37,-244.65,12,39.36,Medium,5.57
62.19,-212.61,68.88,6,30.12,-425.9,1331.44,6.99,24.08,-3.74,-2817.88,-2057.85,-1855.36,-1782.62,215.51,USA,-103.98,-504.22,7865.55,20238.09,2325.15,-41.49,62.84,0.03,-2264.76,17.72,847.13,-4.9,57.18,579.36,-1859.04,12,36.3,High,-8.93
-20.58,-181.29,61.38,6,73.73,-402.22,-283.72,17.31,0.42,-9.09,-4166,-1954.61,3479.3,-2398.7,62.62,Rest,-304.26,-1211.36,8299.01,33572.91,612.75,-48.21,76.46,-16.25,-2077.2,16.14,3638.2,-0.94,49.12,841.43,-1685.79,15,45.9,High,114.05
-17.7,-168.66,67.56,8,100.94,-454.58,-993,0.57,3.32,-12,-3173.8,-1531.96,-1043.68,-1066.16,187.6,Rest,-257.67,-976.24,5585.96,26518.98,1722.33,-47.79,54.22,-8.92,-3879.36,18,6557.08,-6.64,55.22,1086.26,-980.1,15,25.29,Medium,31.03
-122.49,-281.28,67.05,6,22.71,-354.18,-617.04,1.09,17.5,-8.76,-4094.98,-1372.04,-2590.04,-2438.28,152.61,UK,-89.79,-1183.1,2192.45,26521.11,2271.12,-52.17,48.74,-7.29,-3375.87,10.7,5035.11,0.54,61.6,878.08,-258.93,9,34.71,Medium,-8.93
-3.51,-15.84,67.95,2,115.62,-572.68,1045.78,0,2.58,-11.22,-4831.16,-1776.78,-1624.18,-1567.3,126.42,USA,-123.9,-977.28,12694.48,33780.24,1807.62,-62.28,58.2,-10.69,-1563.18,8.44,-2208.27,0.66,54.26,1320.93,-2737.29,18,35.7,Very low,678.85
121.98,-184.95,80.94,8,73.89,-461.12,-407.2,0.05,11.86,-10.29,-5686.84,-1344.68,-1499.3,-1483.02,118.21,Europe,-247.41,-1602.8,6465.71,24612.51,300.66,-55.02,51.38,-8.41,-1173.81,8.78,-7206.14,-3.18,50.34,526.78,-1148.49,9,30.24,Very low,-8.93
1.44,-25.8,39.72,10,76.19,-432.36,-998.86,0.37,6.2,-11.5,-3195.22,-1375.65,-1755.22,-2720.74,134.94,USA,-383.85,-1466.66,7791.41,22692.9,2862.18,-51.93,66.2,-10.29,-2673.72,10.46,53.11,-0.85,39.34,939.05,-1278.21,6,29.7,Very high,138.2
-19.8,-98.31,59.07,10,35.75,-503.64,-1809.68,258.44,1.32,-13.07,-3745.96,-1231.7,-1725.24,-2433.24,103.17,UK,-220.53,-1570.3,1729.33,37783.53,2098.2,-62.16,59.32,-17.03,-3374.25,16.66,-1984.91,-6.23,35.18,890.28,-942.42,12,54.63,Very high,117
-85.77,-75.87,66,6,32.05,-285.56,-2386.18,1465.71,2.54,-10.42,-4176.62,-2113.64,-1995.36,-2041.34,106.25,Rest,-286.2,-1372.46,-1413.69,28291.05,2387.55,-52.71,62.78,-10.34,-4225.17,16.02,2164.4,-6.53,44.6,808.29,-1706.88,15,39.66,High,73.69
133.38,-103.29,50.67,8,37.94,-440.78,-441.96,0.08,4.46,-8.28,-3835.36,-2196.89,-1507.64,-2236.24,146.26,Europe,-130.95,-1591.36,-3076.09,27807.6,1350.51,-44.13,64.98,-12.27,-3451.14,3.16,-3068.05,-1.06,53.74,1050.21,-672.48,9,36.36,Low,5.25
-14.19,-59.64,68.7,12,94.48,-437.42,-759.44,0.09,12.82,-4.02,-3878.9,-2192.2,-1958.84,-1764.8,172.47,Europe,-303.27,-937.68,4665.82,21224.94,1244.64,-54.42,60.9,-13.82,-3877.05,2.22,-189.72,-6.7,54.08,685.47,-1375.38,12,45.3,Medium,-8.93
-103.41,-102.63,75.66,10,119.16,-449.16,-526.92,0.68,9.44,-8.44,-2386.56,-1401.29,-1570.76,-612.96,132.82,Rest,-283.08,-1333.36,5267.66,34146.54,2577.12,-52.17,60.44,-13.16,-3705.09,3.92,3367.34,-8.98,51.6,927.48,-955.89,12,33.42,Low,81.8
43.08,-313.26,65.76,8,60.26,-317.3,-548.08,15.88,5.24,-7.72,-3760.98,-2167.45,-2376.76,-1769.14,87.51,Europe,-149.67,-432.54,4694.85,11603.43,2488.5,-72.48,60.78,-12.27,-2927.7,7.18,2672.31,-2.53,62.74,1373.7,695.22,15,35.19,Very high,76.33
-171.45,-186.87,73.29,12,57.34,-525.34,-750.82,0.64,6.36,-10.3,-3644.52,-1893.18,-1499,-3693.48,118.84,UK,-173.13,-1770.48,7468.59,38786.46,1185.96,-27.09,58.32,-13.99,-4215.72,7.7,2069.25,-5.27,44.12,530.97,-1434.15,15,47.49,Low,61.42
72.06,-118.05,75.03,12,107.14,-419.46,-470.4,3.66,2.32,-8.8,-5271.72,-2347.75,-1648.14,-1201.34,106.66,Europe,-334.41,-224.66,6597.11,21296.01,1055.52,-50.88,69.94,-12.84,-3259.35,7.88,1432.84,-0.76,44.04,713.75,-916.59,12,29.07,Very low,-8.93
104.88,-120.54,66.78,16,93.34,-394.92,-460.56,2.96,4.72,-10.12,-3713.22,-1557.37,-2181.54,-2001.06,161.13,UK,-167.34,-1045.56,9620.8,6526.08,1014.81,-48.42,55.86,-13.1,-3203.67,4.92,-273.27,4.53,51.54,1139.35,-611.73,12,34.8,Low,-8.93
114.6,-136.8,37.2,6,91.22,-336.64,-477.48,0,3.38,-8.16,-3579.18,-1674.02,-1822.98,-2334.14,88.42,Europe,-98.43,-756.7,5436.51,47954.37,1684.41,-63.78,59.38,-13.72,-2104.26,5.08,1140.28,-5.72,53.5,702.36,-1231.92,15,25.65,Very high,209.87
-233.79,-71.04,60.87,8,18.64,-460.26,911.68,0.29,3.98,-9.19,-4298.6,-1875.31,-1865.96,-2074.34,70.66,USA,-453.84,-1853.36,4916.63,14325.78,1872.81,-46.89,59.72,-12.59,-2202.84,7.88,-201.89,0.62,51.26,645.17,-1185.81,18,36.81,Low,117.45
31.29,-312.06,70.95,6,20.77,-527.86,-173.9,2537.09,2.88,-4.64,-4684.06,-1583.09,-928.74,-1437.24,73.76,Rest,-285.96,-1355.26,1790.98,29352.15,1593.51,-67.86,56.86,-14.87,-2701.23,12.44,-1432.65,-1.92,54.68,1595.88,-1257.78,6,6.96,Very low,-8.93
194.49,-178.53,61.26,10,81.24,-562.3,1735.82,6.63,8.54,-6.22,-2467.24,-1386.73,-2062.2,-1386.14,135.93,USA,-272.37,-3144.4,6321.61,38183.07,2855.88,-29.13,74.42,-11.74,-2571.84,14.58,18158.77,-4.3,47.58,715.83,-379.32,12,35.61,Low,-8.93
26.37,-203.73,64.59,2,84.06,-614.24,193.8,1.12,6.44,-14.8,-4557.2,-1989.44,-2440.26,-2921.54,144.4,USA,-263.13,-300.86,2997.38,11489.1,2343.39,-56.67,56.74,-11.59,-3313.95,9.58,1281.96,-1.69,50.34,656.19,-640.65,27,57.66,Very high,750
-15.15,63.18,66.66,6,33.86,-460.78,-466.72,0.9,6.92,-7.19,-3308.2,-1826.98,-1521.88,-1541.04,162.34,Rest,-143.19,-2438.14,8042.72,34109.07,1142.97,-52.17,54.48,-4.05,-2265.15,7.64,-1874.27,1.49,49.68,868.55,-2489.97,15,36.3,Low,118.03
90.06,17.31,81.03,4,98.78,-481.58,-853.88,4.45,5.82,-9.32,-2869.04,-1869.4,-377.08,-2679.48,136.19,USA,-182.79,-990.16,8167.78,26048.88,-353.16,-48.09,52.14,-12.07,-2825.04,1.5,-6891.18,-4.73,50.58,665.38,-518.34,12,27.06,Low,618.96
115.44,-58.2,50.28,8,87.43,-469.28,361.34,0.02,2.32,-13.22,-4213.76,-1400.54,-1313.72,-2124.46,57.12,USA,-254.16,-1820.58,12113.14,34928.46,2915.07,-52.47,76.58,-14.88,-2415.69,6.1,-3025.59,-4.2,59.4,1026.06,469.59,18,52.44,High,740.15
148.23,-245.16,39.57,4,67.38,-452.44,-276.4,0.88,13.54,-11.22,-4526.12,-1450.24,-1580.16,-1952.44,145.87,UK,-122.52,-2050.24,2370.93,36637.17,374.07,-46.92,60.54,-13.24,-3137.4,4.88,597.5,2.02,66.22,673.18,-1502.16,15,36.93,Low,467.76
-89.49,-103.47,46.53,10,45.92,-465.24,-4100.68,127.77,11.86,-12.38,-3888.72,-1878.92,-1763.42,-1971.34,-26.08,USA,-243.57,-701.38,4613.21,12879.87,1899.48,-40.74,63.1,-14.39,-3881.64,2.26,-2235.28,-3.75,44.5,761.22,-929.73,6,24,Very low,40.57
-144.57,-67.08,76.86,10,50.61,-521.12,-2227,2.18,13.72,-10.08,-3968.88,-1474.72,-1376.88,-2726.22,73.53,Europe,-238.77,216.84,6461.31,20871.27,686.97,-49.77,61.48,-16.14,-5703.51,6.98,1292.31,4.49,51.28,906.27,-1393.23,12,54.72,Very low,-4.31
5.43,-132.21,85.8,2,72.41,-311.12,-517.4,2.43,14.72,-11.79,-1032.64,-1853.63,-857.3,-2166.34,126.75,Europe,-233.07,-1613.2,2709.9,28824.75,1717.02,-54.36,59.34,-13.68,-2191.14,13.04,2566.83,-3.95,38.84,474.23,-2483.52,9,18.45,Very high,130.15
101.04,-167.19,58.71,4,94.72,-480.82,-483.66,11.54,38.92,-8.91,-4702.52,-1774.18,-1970.48,-1235.6,160.21,Europe,-147.78,-968.2,5398.65,43175.07,1716.03,-43.05,47.64,-12.55,-1943.46,3.28,1785.87,-3.27,52.88,1250.02,-1471.71,15,37.17,Low,153.58
112.65,-33.54,80.64,10,-33.29,-166.6,-127.5,2.17,15.88,-7.44,-4373.64,-1638.61,-1429.78,-2863.4,108.1,UK,-114.75,-965.46,6610.37,20511.21,1161.72,-59.52,56.54,-5.63,-2976.03,9.84,4029.31,-6.61,64.38,1086.27,-415.83,12,14.91,Very low,-8.93
105.9,-164.73,84.81,2,38.52,-385.5,-2087.22,0.01,4.3,-10.46,-3051.08,-1677.72,-1777.2,-1899.44,108.16,Europe,-155.79,-215.18,7668.94,30544.5,1673.4,-40.29,59.56,-16.53,-2487.66,8.44,4828.23,-1.9,41.78,1311.86,-391.62,6,45.78,Low,70.45
150.75,-85.23,64.08,6,58.21,-483.02,-993.08,8.42,4.42,-13.77,-4119.04,-1752.14,-1343.42,-1479.18,140.13,USA,-207.69,-1702.34,10015.44,23611.68,289.95,-45.78,49.28,-18.97,-2057.13,2.88,-2386.96,-5,38.66,615.78,-2182.29,12,30.96,Very low,657.79
60.99,-232.95,99.36,8,30.49,-437,-665.66,0.09,8.6,-8.37,-2656.14,-1646.11,-2032.98,-2672.18,100.77,Rest,-40.44,-787.12,7430.7,26527.11,2389.86,-48.15,57.74,-16.78,-2379,8.02,1888.18,-5,30.92,1030.87,-961.29,21,32.28,Low,157.35
-106.2,-134.43,69.42,0,38.61,-367.16,891.68,0.07,16.5,-17.48,-3116.12,-2272.37,-3050.08,-3083.94,151.8,Rest,-157.83,-556.56,4833.19,25863.69,2452.62,-53.58,54.22,-8.93,-2697.99,3.96,-1625.98,-2.96,38.98,1055.94,-1586.04,9,32.61,High,623.65
58.44,-49.92,91.77,8,26.11,-585.62,392.9,51.32,3.96,-4.57,-3941.62,-2013.41,-1939.88,-2583.54,128.58,Europe,-139.56,-1196.54,2866.11,13720.8,2366.13,-75.99,56.76,-12.24,-2561.67,2.3,1679.55,-4.23,53.74,1329.51,-2822.43,9,37.14,Medium,-8.69
28.77,-30.81,75.39,10,57.32,-549.32,-487.08,0.25,0.98,-8.13,-4088.46,-1942.25,-1751.06,-3541.52,176.88,USA,-329.49,-1528.36,3181.5,35856.81,3056.37,-25.92,63.8,-11.92,-2563.23,2.5,5071.13,-3.07,57.1,913.73,-1529.76,18,10.53,Very high,664.41
146.28,-134.07,64.77,8,109.03,-490.4,-562.24,0.3,12.1,-13.37,-3136.76,-1583.53,-1531.56,-1890.8,97.65,USA,-230.58,-1582.82,6396.93,27739.71,295.71,-55.32,75.4,-11.36,-2680.17,3.92,3449.67,-6.5,44.08,633.85,-2243.82,9,40.86,High,671.4
-30.3,-128.13,83.01,8,110.19,-444.98,213.94,3.07,2.76,-9.82,-3547.04,-1799.18,-2446.44,-2701.06,165.27,Rest,-279.93,-253.02,4063.1,32792.94,1922.04,-46.11,70.16,-13.19,-3072.6,0.34,1991.92,-2.52,50.96,904.27,-1070.13,15,20.52,High,377.83
95.34,-31.08,59.94,8,74.51,-438.62,52.56,347.27,1.82,-12.78,-3866.62,-1491.31,-1234.54,-2442.02,103.22,USA,-147.51,-1344.42,681.64,17561.07,1041.69,-52.56,71.66,-13.01,-518.79,2.12,5403.71,-5.58,71.36,448.85,-481.86,15,14.64,Very high,728.91
-23.49,101.64,77.52,10,77.78,-485.92,-859.28,0.22,1.56,-10.16,-1859.92,-1699.11,-2371.96,-2418.66,144.9,UK,-205.59,-919.44,5488.31,8403.99,2843.31,-54.42,50.68,-12.43,-4342.32,18.02,3225.13,-5.02,45.04,920.25,-1343.58,6,37.17,Medium,-8.93
153.3,-115.56,61.8,6,29.61,-541.96,-523.5,51.71,4.6,-7.58,-4146.36,-1205.52,-1714.86,-1819.82,121.13,Europe,-220.23,-560.24,4429.09,39729.72,1115.22,-66.99,61.06,-13.8,-2463.99,2.4,2125.16,-2.6,52.02,525,-2175.99,12,21.93,Very low,57.67
-82.92,-99.18,66.18,8,86.88,-479.82,-675.18,0.05,7.82,-5.46,-4228.06,-1497.97,-1889.98,-2861.2,154.94,USA,-142.05,-1585.94,3133.43,39331.05,652.56,-56.61,62.22,-4.43,-2485.32,4.12,4136.18,1.58,52.1,740.79,-2233.59,12,39.87,Very high,320.69
74.64,34.74,55.32,8,28.99,-554.78,-653.62,0.07,11.94,-11.52,-1811.22,-1669.57,-1371.16,-1461.34,185.24,UK,-184.38,-321.46,9020.45,32625.33,250.29,-67.41,62.4,-16.68,-3116.34,5.84,2086.07,-5.15,56.22,982.8,-879.78,18,39.06,High,532.36
4.02,-111.21,76.29,4,158.46,-357.84,75.76,0.04,10.52,-15.33,-3898.18,-1379.8,-1956.56,-2642.24,149.34,Europe,-234.45,-655.86,9390.33,38239.14,1375.44,-59.28,75.04,-13.84,-3118.8,12.82,2189.59,-5.22,56.62,1437.79,-1225.05,12,28.44,High,230.75
67.62,-193.02,76.26,2,6.59,-429.28,-347.48,475.24,5.72,-8.99,-3543.46,-1981.42,-2879.72,-2411.96,147.92,USA,-195.93,-1137.36,6133.28,32856.09,2317.05,-32.91,63.04,-17.35,-2092.62,7.88,3849.74,-0.34,55.48,1097.72,-1158.09,18,73.8,Very low,488.7
165.6,-237.48,72.15,20,63.57,-723.64,-478.44,54.03,0.5,-3.34,-5085.72,-1507.06,-1537.26,-3496.42,112.37,USA,-126.36,-238.5,6085.01,31349.46,1869.96,-48.9,40.78,-12.07,-1682.25,3.98,2141.14,-1.46,52.42,1012.51,-372.33,12,31.17,Very low,-8.93
95.58,-134.76,64.74,8,72.39,-484.42,-271.42,4.22,7.5,-12.64,-3071.1,-1845.58,-717.26,-2919.52,232.58,UK,-248.82,-1743.36,7150.21,23979.78,1135.2,-60.87,61.62,-10.31,-3640.59,32.76,-3484.97,-5.16,66.42,679.92,-2856.42,6,39.03,Very high,-8.93
156.12,0.15,72.75,10,30.21,-496,-291.66,0.16,12.6,-13.74,-4098.32,-981.67,-3019.58,-2049.44,103.68,Rest,-155.37,-702.22,3294.99,39347.49,2269.98,-27.87,57.58,-13.08,-3966.21,5.62,12765.41,-5.37,41.42,666.37,-2182.59,15,29.34,Medium,304.25
56.04,-184.38,70.08,16,65.15,-539.92,-113.24,0.37,4.22,-12.37,-5133.74,-1735.09,7.54,-2308.9,153.81,Rest,-83.94,-326.82,6266.79,22082.64,1980.6,-73.56,62.52,-13.69,-2619.36,9.62,2590.7,1.46,50.5,1425.94,-1537.23,6,38.43,Very low,-8.93
-20.55,-58.71,98.91,10,59.46,-379.2,-372.68,1.18,11.58,-6.67,-3481.7,-1676.48,-1316.24,-2146.22,202.45,Europe,-224.01,-101.44,7926.44,33588.96,681.63,-58.74,59.48,-8.38,-3472.35,2.36,5458.22,2.5,48.76,853.38,-2057.97,12,49.23,Very low,6.72
11.76,-129.57,69.18,8,47.29,-593.82,-925.96,0.05,5.94,-6.51,-3880,-1725.32,-2301.54,-1983.38,160.64,Europe,-132.9,-1366.98,7339.08,36722.97,1239.96,-49.68,64.88,-11.92,-3057,10.54,-4584.3,-1.81,48.22,1416.07,-603.63,3,41.46,Medium,-8.93
27.24,-128.28,67.5,8,40.96,-409.16,-144.1,0.65,1.9,-11.96,-3789.26,-1948.83,-1771.08,-2421.54,44.72,Europe,-250.29,-860.66,5953.71,28990.74,2067.06,-43.74,58,-13.79,-3256.59,10.18,192.21,-4.34,56.78,1382.18,75.09,18,44.13,Very high,188.7
223.23,-177.84,59.22,4,79.6,-333.94,-224.7,1.83,2.62,-14.74,-3428.26,-1325.75,-3454.4,-1322.4,122.23,Europe,-126.66,-1452.28,7751.44,18899.37,380.61,-55.23,60.36,-12.25,-3215.52,2,5652.42,-1.92,54.46,873.72,-2515.74,6,29.13,Medium,240.89
-15.33,-90.06,59.28,10,76.53,-395.18,-867.7,0.82,4.6,-12.54,-3540.4,-1643.94,-1160.68,-2341.36,150.09,UK,-391.23,-1297.9,-1798.09,35075.61,1676.67,-51.03,61.48,-12.44,-2958.39,17.12,-1074.98,-3.79,53.3,873.41,-331.47,18,45.18,High,38.74
-106.53,-95.13,69.18,12,143.64,-194.96,-2582.46,6.64,1.68,-10.25,-3787.24,-1774.29,-625.4,-1753.42,138.57,USA,-252.54,-1691.76,3905.58,12074.61,2506.02,-97.89,71.78,-10.59,-2963.1,21.36,5401.66,-2.79,49.56,958.2,-1063.86,12,37.38,Medium,-8.93
-12.54,114.03,74.79,8,41.32,-348.58,-334,0.34,6.8,-13.41,-4701,-1754.83,-1027.52,-2022.98,225.68,USA,-300.6,-2045.38,3864.7,23353.29,1080.84,-53.46,60.2,-11.62,-3382.98,1.26,1507.13,-2.49,54.18,1022.83,178.83,3,37.56,Very high,669.63
59.49,-205.68,78.33,12,91.98,-292.42,-376.24,0.22,7.5,-15.65,-3880.7,-1861.15,-6165.6,-2332.52,132.72,USA,-91.59,96.56,2774.4,28912.89,1591.86,-54.12,67.28,-16.06,-3235.95,13.36,-1060.78,-2.12,49.28,438.7,-1922.67,12,41.91,High,229.52
